file,variant,orig_bytes,out_bytes,orig_curve_cmds,out_curve_cmds
advisors/师.svg,oracle,2235,358,14,17
beliefs/阿.svg,bronze,3879,959,59,65
beliefs/埃.svg,seal,3956,553,13,13
beliefs/奥.svg,seal,5085,969,28,40
beliefs/榜.svg,seal,5034,901,21,26
beliefs/宝.svg,oracle,5345,719,26,34
beliefs/碑.svg,seal,4696,846,25,34
beliefs/贝.svg,oracle,3427,565,18,24
beliefs/比.svg,oracle,4320,760,36,43
beliefs/布.svg,bronze,2764,457,15,19
beliefs/财.svg,seal,3364,561,15,15
beliefs/禅.svg,seal,5141,1007,38,56
beliefs/产.svg,bronze,4608,919,44,54
beliefs/唱.svg,seal,3596,706,21,26
beliefs/朝.svg,oracle,5367,1065,50,68
beliefs/忱.svg,seal,4316,709,16,18
beliefs/城.svg,bronze,6863,1217,67,79
beliefs/乘.svg,oracle,3129,404,13,13
beliefs/传.svg,oracle,4971,629,18,23
beliefs/达.svg,oracle,4962,878,40,56
beliefs/大.svg,oracle,2903,343,12,14
beliefs/道.svg,bronze,6684,1069,83,71
beliefs/德.svg,oracle,5828,1010,45,61
beliefs/地.svg,bronze,5173,995,41,56
beliefs/殿.svg,bronze,3823,873,55,62
beliefs/丁.svg,oracle,2500,414,14,16
beliefs/度.svg,oracle,4328,570,20,24
beliefs/锻.svg,seal,5928,953,31,46
beliefs/尔.svg,bronze,4053,756,72,52
beliefs/丰.svg,oracle,2037,354,13,13
beliefs/佛.svg,seal,3792,701,22,30
beliefs/甘.svg,oracle,4897,546,18,23
beliefs/感.svg,bronze,15576,1388,81,79
beliefs/刚.svg,oracle,5418,676,23,26
beliefs/高.svg,oracle,4711,631,25,33
beliefs/隔.svg,seal,4582,949,32,31
beliefs/工.svg,oracle,2634,420,14,15
beliefs/姑.svg,bronze,6250,1072,44,56
beliefs/管.svg,seal,4210,739,23,29
beliefs/光.svg,oracle,5076,465,14,15
beliefs/海.svg,bronze,4642,734,29,43
beliefs/捍.svg,bronze,3390,509,15,18
beliefs/合.svg,oracle,4227,499,20,21
beliefs/河.svg,oracle,2673,358,15,20
beliefs/荷.svg,seal,4770,852,25,36
beliefs/盒.svg,oracle,4227,499,20,21
beliefs/护.svg,seal,6656,1042,30,37
beliefs/笏.svg,seal,3648,654,18,23
beliefs/花.svg,seal,4729,783,27,37
beliefs/化.svg,oracle,3337,787,41,50
beliefs/话.svg,bronze,5382,999,58,63
beliefs/皇.svg,oracle,4797,628,19,24
beliefs/灰.svg,seal,3019,677,21,33
beliefs/回.svg,oracle,3257,456,18,19
beliefs/会.svg,oracle,8247,782,24,31
beliefs/活.svg,seal,5063,870,26,37
beliefs/火.svg,oracle,4855,702,26,35
beliefs/极.svg,seal,4736,737,15,18
beliefs/纪.svg,bronze,2682,717,28,36
beliefs/加.svg,bronze,3251,791,56,63
beliefs/伽.svg,seal,4681,777,23,29
beliefs/匠.svg,seal,2873,617,18,23
beliefs/教.svg,oracle,3957,656,22,32
beliefs/节.svg,bronze,4554,693,23,28
beliefs/界.svg,seal,3234,747,26,33
beliefs/金.svg,bronze,3715,873,59,67
beliefs/经.svg,bronze,4101,784,30,41
beliefs/景.svg,seal,3528,624,20,25
beliefs/径.svg,seal,4161,821,31,42
beliefs/居.svg,bronze,2559,527,19,23
beliefs/聚.svg,seal,5063,943,28,42
beliefs/开.svg,seal,4765,839,25,32
beliefs/克.svg,oracle,2329,433,17,21
beliefs/空.svg,bronze,3144,477,13,13
beliefs/口.svg,oracle,3008,706,29,38
beliefs/跨.svg,seal,4157,756,22,29
beliefs/扩.svg,seal,6373,1044,30,40
beliefs/阔.svg,bronze,6261,1311,56,83
beliefs/拉.svg,seal,3459,602,16,18
beliefs/兰.svg,seal,6216,895,23,27
beliefs/乐.svg,oracle,3683,508,16,16
beliefs/离.svg,bronze,17346,1576,87,93
beliefs/理.svg,bronze,6160,1105,61,65
beliefs/猎.svg,bronze,5732,966,31,43
beliefs/林.svg,oracle,3514,511,15,18
beliefs/灵.svg,bronze,7223,1188,84,70
beliefs/流.svg,bronze,3926,805,37,54
beliefs/芦.svg,seal,7332,1124,30,37
beliefs/鲁.svg,oracle,7431,858,26,36
beliefs/路.svg,bronze,5864,1011,75,53
beliefs/罗.svg,oracle,4555,634,22,28
beliefs/马.svg,oracle,6388,692,19,22
beliefs/梅.svg,bronze,4235,791,41,48
beliefs/蒙.svg,bronze,7026,1248,91,83
beliefs/棉.svg,seal,4456,893,28,35
beliefs/民.svg,oracle,4569,503,16,17
beliefs/冥.svg,seal,3684,722,21,28
beliefs/漠.svg,seal,6790,1102,34,51
beliefs/姆.svg,bronze,4016,856,38,51
beliefs/墓.svg,seal,5697,987,26,33
beliefs/尼.svg,seal,2259,494,15,23
beliefs/念.svg,oracle,5348,885,32,43
beliefs/努.svg,seal,4767,748,20,24
beliefs/女.svg,oracle,2794,391,14,17
beliefs/偶.svg,seal,4140,742,23,26
beliefs/佩.svg,bronze,3826,614,19,23
beliefs/平.svg,bronze,4627,869,43,53
beliefs/骑.svg,bronze,17043,2292,142,189
beliefs/清.svg,bronze,11832,1321,80,83
beliefs/情.svg,seal,4723,738,16,14
beliefs/圈.svg,seal,6308,1096,30,44
beliefs/热.svg,seal,6364,979,29,42
